meme_id,original_text,original_brand,brand_decision,replacement_brand,hindi_translation,rationale,status,error
TE-104,WHY WONT Animal Crossing New Horizons HEAL MY FEELINGS,,,,,,SUCCESS,
TE-177,"Pornhub 
< Previous 102k 103k 104k 105k 106k Last
Error:
You have watched every goddamn video we have. You need to find a girl you sick fucking bastart and now don't go to xvideos, They have the same collections with different name.",,,,,,SUCCESS,
TE-184,"BEFORE 10 YEARS OLD, (intel) CORE i9 9th Gen, AFTER 10 YEARS OLD, dead inside",,,,,,SUCCESS,
TE-195,"Al-Anon, RR, Fitbit, MyFitnessPal, Fasting Tracker, I Am Sober, Hell",,,,,,SUCCESS,
TE-285,"YOUNG OLD 
 Depression 
 No treatment 
 Faceapp 
 Treat depression early;prevent suicide 
 ©Dr.Pavan Sonar",,,,,,SUCCESS,
TE-303,"My anxiety when I hear a car driving by outside past the hours of 9:30PM
what the cinnamon toast fuck is this
KING FISH",,,,,,SUCCESS,
TE-343,"I have to log in my unplanned snack into MyFitnessPal
My Phone finally changed the apps layout to darkmode",,,,,,SUCCESS,
TE-378,hand over the diet coke AND NO ONE GETS HURT!,,,,,,SUCCESS,
TE-425,"9:58 90% Charged
MESSAGES now
Anxiety
What if you're not good enough
MESSAGES now
Depression
Everyone hates you
MESSAGES now
Dominos pizza
Your Shit is on the way fat ass",,,,,,SUCCESS,
TE-549,GRAVITY GRYFFIN OUT OF MY MIND FT. ZOHARA,"Gryffin, Zohara (Musicians), ""Out of My Mind"" (Song Title)",KEEP,N/A,"ग्रेविटी ग्रिफिन"" (Left) and ""बेखबर FT. ज़ोहरा"" (Right)","The artist names and song title are the core identity of this promotional image. Replacing them would defeat its purpose. The best approach for cultural adaptation is to transliterate the artist names into Devanagari and provide a poetic translation for the song title, which is a common practice for international music releases in India.",SUCCESS,
TE-583,"Panel 1: the calorie results for my latte are inconsistent in mfp
Panel 2: i can make a custom recipe because i know the ingredients and their calories i work here
Panel 3: its WAY more than the other search results
Panel 4: its WAY more than the other search results",,,,,,SUCCESS,
TE-586,"12 Modelo Especial, CUM, Is this a balanced diet?, made with mematic",,,,,,SUCCESS,
TE-629,2:19 MyFitnessPal now You haven't logged your Lunch for today. Would you like to do it now?,,,,,,SUCCESS,
TE-8,"Alexa, cure my depression!!",,,,,,SUCCESS,
VA-11,Me: *Gets attached to someone.* Them: Vanish Oxi Action,,,,,,SUCCESS,
VA-124,"Need to. Diequik, Nestle Nesquik, Strawberry, makes milk fun!",,,,,,SUCCESS,
VA-134,"Facebook, Instagram, LinkedIn, Tinder",,,,,,SUCCESS,
VA-288,"Me, TACO BELL, I...love you guys, so much. Borderline Memes For Borderline Dreams",,,,,,SUCCESS,
VA-324,How's your mental health? Me: I Can't Believe It's Gotten Even worse!,,,,,,SUCCESS,
VA-336,"Damn, I need to go shopping 
 Jack Daniel's Tennessee Whiskey 
 Maruchan Ramen",,,,,,SUCCESS,
VA-351,"Anyone: How are you keeping it together through all of this? 

Me: 
I woke up at 4am and ate a share size bag of sour skittles, then fell back asleep",,,,,,SUCCESS,
VA-62,Me whenever my friends give me even the slightest bit of attention: what the cinnamon toast fuck is this,,,,,,SUCCESS,
VA-278,BigKidProblems @BigKidProblems Allow me to introduce you to my therapist. [Image text: Pillsbury Chocolate Chip Value Size 30 Cookies],,,,,,SUCCESS,
VA-52,"its my mental breakdown and I get to choose the hair dye 
[On Jar]: TISH & SNOOKY'S MANIC PANIC N.Y.C. SEMI-PERMANENT HAIR COLOR CREAM ULTRA VIOLET",,,,,,SUCCESS,
