meme_id,original_text,western_reference,indian_replacement,hindi_translation,rationale,status,error
TE-141,"When someone asks me when was the last time I got a decent night's sleep... Picture it, Sicily, 1912.",,,,,SUCCESS,
TE-147,The government | My FBI agent | the birds | Me googling Garfield hentai for the 26th time,,,,,SUCCESS,
TE-160,"Me, my horrible life choice, not being able to find a job, Me, cute anime girls",,,,,SUCCESS,
TE-232,"Panel 1: HELLO DARKNESS, MY OLD FRIEND
Panel 2: I AIN'T YOUR FRIEND
Panel 4: oh...
Panel 5: I AIN'T YOUR FRIEND EITHER
Footer: THIS COMIC MADE POSSIBLE THANKS TO DUNCAN LATHLIN - MRLOVENSTEIN.COM",,,,,SUCCESS,
TE-411,"To get away with not having done work, i'm using a loading icon gif to trick the teacher into thinking it just won't load. Harvard wants to: Know your location. Block Allow",,,,,SUCCESS,
TE-506,first-mate prance @bocxtop i think it's fucked up that for the 2020s we didn't even get the roarin part like in the past we just went straight to the depression 7:33 PM · 8/20/20 · Twitter Web App,,,,,SUCCESS,
TE-533,"look daddy I'm fixing the tire with a hammer 
 stfu you waste of sperm kids your age are making iPhones in China",,,,,SUCCESS,
TE-70,when you're suffering from crippling depression and anxiety but you hear someone playing hyphy music,,,,,SUCCESS,
TE-74,"HARRY POTTER MOVIES + PORN
UH, THIS IS KIND OF WEIRD
WINE
OMG LET PEOPLE ENJOY THINGS.
AUTO MASTER-BATER
HEROIN
@OWENBROADCAST",,,,,SUCCESS,
TE-197,"Dying in Minecraft 
Dying in real life",,,,,SUCCESS,
TE-214,"choose ur fighter: mental health advice. 'it's not so bad! you have a great life!' | 'hey man the best antidepressant is being outdoors' | 'only jesus can fill the emptiness inside your heart' | 'nothing is wrong, it's in your head, stop whining and get over it' | 'I have an amazing product for that. Do you know Scentsy?' | 'yeah things are pretty bad for me too, did I tel you about Sherry?'",,,,,SUCCESS,
TE-299,"Treat me like a princess
OK, I'll try",,,,,SUCCESS,
TE-309,"Shop the More Nikocado store
I IDENTIFY AS SKINNY.
I Identify As Skinny Classic Hoodie Black / 4XL",,,,,SUCCESS,
TE-333,"JOIN THE 3 DAY CHALLENGE! NO CRACK ON FEBRUARY 29, 30 AND 31!",,,,,SUCCESS,
TE-342,MESSAGES now Dad Why is the FBI here? @memes_for_the_manic How to die without making mom sad ALL IMAGES VIDEOS NEWS MAPS,,,,,SUCCESS,
TE-619,"me looking up the calories of the same food 7 times a day
my fbi agent",,,,,SUCCESS,
VA-111,When you are too afraid to kill yourself so you join the Area 51 raid so the guards do it for you: Improvise. Adapt. Overcome,,,,,SUCCESS,
VA-184,My chemically imbalanced brain going from lonely to happy to horny to depressed to sleepy within 5 minutes. Parkour!,,,,,SUCCESS,
VA-222,"Yes I have Narcolepsy. No I won't drop and sleep ""right now""... No it's not like lactose intolerance, you don't self-diagnose. someecards user card",,,,,SUCCESS,
VA-270,"I don't understand anymore. I feel like a whore. I guess I am not worth using anymore. Everyone always saw me as a creepy eyesore. The next explorer of the highly homicidal. Yet why...did I turn the dial to still become their sociatial scapegoat. I wrote and learned to emote, but I still drowned in my moat of tears. My fears turned into spears to produce cheers, ""Cheers! Here's a round of beers, for the condemning jeers."" My head constantly on the board to produce my next big mistake. It's a hot take, that you can't tell is fake. Take your stake and impale my humanity, increasing the stakes on my existence never bothered you. Too late to pump the brakes, you already created a slew of lies. Who needs emotional ties, when your popularity is on the rise. You truly are temporary sensational. Super irrational, and elementary. You gave me an invitation to a conversational end. ""Action!"" The film begins and the isolation you caused, was never paused. ""Cut!"" The blood flows like rivers from the mouths you involuntarily shut. ""That's a wrap"" you unapologetically, shut off and isolate. In order to medicate your need to validate. I'm going to give it to you straight, it's all bait. You wait for my mental state to gravitate to hate. You gave me slander on a plate. The grave you dug me is remaining empty. That ""school shooter energy"" was from being a rug for society. When the time comes you will find your impropriety will be your agony.",,,,,SUCCESS,
