meme_id,original_text,western_media,indian_replacement,hindi_translation,rationale,status,error
TE-294,"The Useless Elites | The Useless Goddess | The Useless Demon | The Useless Hero | The Useless Villains | The Useless MC | The Useless Princess | The Useless Screamer | The Useless Shinobi | The Useless YOU (1) (Seriously do something useful for once, fucking weeb)",,,,,SUCCESS,
TE-98,"BUT THAT'S NOT WHAT DEPRESSION LOOKS LIKE... DARLING, YOU'VE NO IDEA WHAT DEPRESSION LOOKS LIKE. #DARKMEME",,,,,SUCCESS,
VA-104,"Todoroki: *is a fan of bridges* 
Todoroki:
Wow look at this
bridge",,,,,SUCCESS,
VA-127,"Me waking up in the morning without any will to live 
 Made with depression 
 *sad clarinet noises*",,,,,SUCCESS,
VA-202,"HAAAAAAAANK.png
HAAAAAAAAAAAAAAAANK
HAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAANK
GET THE food
HAAAAAAAAAAAAAAAANK
THE food NOT water
HAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAN",,,,,SUCCESS,
TE-226,Discovering something that doesn't exist / Anxiety,,,,,SUCCESS,
TE-323,ALRIGHT CAMPERS TODAY'S CHALLENGE IS TO FIND A REASON TO KEEP GOING,,,,,SUCCESS,
TE-336,Happy Sad Depressed Suicidal THE EMOJI MOVIE 13 Memes That Describe How People Feel About 'The Emoji Movie' ...,,,,,SUCCESS,
TE-354,Me thinking why this is still in the meme factory,,,,,SUCCESS,
TE-47,Endgame Humanizes Thor as he went through trauma and depression. After all that he was still worthy of mjolnir. Depression does not take away your value as a god or even as a human,,,,,SUCCESS,
TE-497,"mamas_got_problems 
When someone asks me when was the last time I got a decent night's sleep... 
Picture it. Sicily, 1912.",,,,,SUCCESS,
TE-505,"MY SUDDEN VOCATION TO BE VEGETARIAN
MY MOM
MY RESTRICTIVE ED",,,,,SUCCESS,
TE-525,"My brain after I have had a good day and suddenly have a Mental Health Episode. I have altered the deal, pray I don't alter it any further",,,,,SUCCESS,
VA-122,"Honey, I don't know how to say this. Our son was born with spikey pink hair. He...is a protagonist. Then...the rules of anime dictate that I must...",,,,,SUCCESS,
VA-138,"Top: INSIDE OUT WITH RILEY BEING A DEPRESSED TEEN BE LIKE:

Middle: SADNESS: I'M ALONE BY MYSELF AND ALL THE OTHER EMOTIONS ARE GONE. I DON'T KNOW WHAT TO DO ANYMORE. I GUESS I'LL JUST DO THIS...

RILEY: I'M WORTHLESS TO THIS WORLD AND NOBODY LOVES ME. I'VE HAD ENOUGH OF THIS. I'M GONNA GO KILL MYSELF NOW.",,,,,SUCCESS,
VA-27,"Rem, I have to tell you something
I love Emilia",,,,,SUCCESS,
VA-312,"when your weight has been flatlining but youre going home for the holidays so you try to gain to keep concern away, only to finally start losing weight",,,,,SUCCESS,
VA-37,"When you visit Japan and nobody speaks with subtitles
Not Like on TV",,,,,SUCCESS,
