model,symptom,precision,recall,f1,support
"BERT-uncased (FT, MAMA)",Feeling Down,0.5161,0.1672,0.2526,287
"BERT-uncased (FT, MAMA)",Lack of Interest,0.0,0.0,0.0,96
"BERT-uncased (FT, MAMA)",Self-Harm,0.2296,0.4412,0.302,102
"BERT-uncased (FT, MAMA)",Eating Disorder,0.6066,0.3854,0.4713,96
"BERT-uncased (FT, MAMA)",Low Self-Esteem,0.0,0.0,0.0,125
"BERT-uncased (FT, MAMA)",Concentration Problem,0.0,0.0,0.0,98
"BERT-uncased (FT, MAMA)",Sleeping Disorder,0.0,0.0,0.0,99
MentalBERT (FT),Feeling Down,0.7333,0.0383,0.0728,287
MentalBERT (FT),Lack of Interest,0.0,0.0,0.0,96
MentalBERT (FT),Self-Harm,0.1944,0.1373,0.1609,102
MentalBERT (FT),Eating Disorder,0.2232,0.2604,0.2404,96
MentalBERT (FT),Low Self-Esteem,0.0,0.0,0.0,125
MentalBERT (FT),Concentration Problem,0.0,0.0,0.0,98
MentalBERT (FT),Sleeping Disorder,0.0,0.0,0.0,99
BART-Base (FT),Feeling Down,0.0,0.0,0.0,287
BART-Base (FT),Lack of Interest,0.0,0.0,0.0,96
BART-Base (FT),Self-Harm,0.172,0.6863,0.275,102
BART-Base (FT),Eating Disorder,0.3,0.0312,0.0566,96
BART-Base (FT),Low Self-Esteem,0.0,0.0,0.0,125
BART-Base (FT),Concentration Problem,0.0,0.0,0.0,98
BART-Base (FT),Sleeping Disorder,0.0,0.0,0.0,99
MentalBART (FT),Feeling Down,1.0,0.0209,0.041,287
MentalBART (FT),Lack of Interest,0.0,0.0,0.0,96
MentalBART (FT),Self-Harm,0.1628,0.6863,0.2632,102
MentalBART (FT),Eating Disorder,0.4043,0.1979,0.2657,96
MentalBART (FT),Low Self-Esteem,0.0,0.0,0.0,125
MentalBART (FT),Concentration Problem,0.0,0.0,0.0,98
MentalBART (FT),Sleeping Disorder,0.0,0.0,0.0,99
BERT-multilingual (FT),Feeling Down,0.6228,0.2474,0.3541,287
BERT-multilingual (FT),Lack of Interest,0.0,0.0,0.0,96
BERT-multilingual (FT),Self-Harm,0.5,0.2843,0.3625,102
BERT-multilingual (FT),Eating Disorder,0.3679,0.8125,0.5065,96
BERT-multilingual (FT),Low Self-Esteem,0.0,0.0,0.0,125
BERT-multilingual (FT),Concentration Problem,0.0,0.0,0.0,98
BERT-multilingual (FT),Sleeping Disorder,0.0,0.0,0.0,99
IndicBERTv2-SS (FT),Feeling Down,0.586,0.6411,0.6123,287
IndicBERTv2-SS (FT),Lack of Interest,0.0,0.0,0.0,96
IndicBERTv2-SS (FT),Self-Harm,0.505,0.5,0.5025,102
IndicBERTv2-SS (FT),Eating Disorder,0.5821,0.8125,0.6783,96
IndicBERTv2-SS (FT),Low Self-Esteem,0.0,0.0,0.0,125
IndicBERTv2-SS (FT),Concentration Problem,0.0,0.0,0.0,98
IndicBERTv2-SS (FT),Sleeping Disorder,0.0,0.0,0.0,99
IndicBERTv2-Sam (FT),Feeling Down,0.5543,0.676,0.6091,287
IndicBERTv2-Sam (FT),Lack of Interest,0.0,0.0,0.0,96
IndicBERTv2-Sam (FT),Self-Harm,0.3352,0.598,0.4296,102
IndicBERTv2-Sam (FT),Eating Disorder,0.6759,0.7604,0.7157,96
IndicBERTv2-Sam (FT),Low Self-Esteem,0.0,0.0,0.0,125
IndicBERTv2-Sam (FT),Concentration Problem,0.0,0.0,0.0,98
IndicBERTv2-Sam (FT),Sleeping Disorder,0.0,0.0,0.0,99
MuRIL (FT),Feeling Down,0.0,0.0,0.0,287
MuRIL (FT),Lack of Interest,0.0,0.0,0.0,96
MuRIL (FT),Self-Harm,0.0,0.0,0.0,102
MuRIL (FT),Eating Disorder,0.0,0.0,0.0,96
