mode,image,category,explanation,gold_label,predicted_label
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-116.jpg,UNIVERSAL_HUMAN,"This stark black-and-white image features a silhouette of a person standing perilously on the ledge of a large clock tower, looking downwards, accompanied by the Hindi text, ""मुझे एहसास हुआ कि अब मेरा कोई मकसद नहीं बचा।"" (I realized that I have no purpose left anymore). Culturally, the meme utilizes cinematic, noir-style aesthetics common in ""doomer"" internet circles to dramatize profound existential dread and a complete loss of life direction. Emotionally, the scene conveys an overwhelming sense of despair and finality, as the shadowed figure seems to contemplate their end next to a towering symbol representing time running out. Clinically, the explicit textual declaration of complete hopelessness aligns precisely with the symptom of Feeling Down, while the precarious positioning of the figure staring over a steep drop serves as a dark visual metaphor indicating ideation related to Self-Harm.","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/CELEBRITY_DEPENDENT/test/TE-26.jpg,CELEBRITY_DEPENDENT,"This Hindi ""Expectation vs. Reality"" meme critiques the media's glamorization of mental illness by juxtaposing text reading ""People think depression looks like this"" over a romanticized, cinematic image of a brooding Bollywood actor with a guitar, alongside ""In reality, it looks like this"" over an unglamorous photograph of an ordinary man sleeping exhaustedly on a crowded public train. The cultural irony strips away the aesthetic appeal of cinematic, poetic sorrow to reveal the mundane, grueling fatigue of everyday working-class life, conveying an underlying emotional state of severe burnout rather than performative sadness. Clinically, the stark ""reality"" panel provides visual evidence of a **Sleeping Disorder**, specifically highlighting profound exhaustion and fatigue as the man uncontrollably sleeps in an uncomfortable public transit setting to cope with the daily grind.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/BRAND_DEPENDENT/test/TE-285.jpg,BRAND_DEPENDENT,"This Hindi-language image subverts a typical ""before and after"" comparison meme by featuring a melancholic emoji labeled ""Young"" (जवान) and ""Depression"" (डिप्रेशन) on the left, while the ""Old"" (बूढ़ा) side is left starkly blank aside from text stating ""No treatment"" (इलाज नहीं) and referencing an ""Old age Filter"" (बुढ़ापा Filter). The jarring emotional weight of the image stems from this dark irony, utilizing a lighthearted internet trend—social media aging filters—to convey the grim, fatalistic reality that an untreated young person may not survive to experience old age. Clinically, the overtly despondent expression of the yellow emoji aligns directly with the symptom of Feeling Down. Furthermore, the explicit warning in the bottom text, translating to ""Get depression treated early; prevent suicide"" (डिप्रेशन का इलाज जल्दी कराएं; आत्महत्या रोकें।), shifts the meme into a public service announcement and provides direct textual evidence of the severe consequences associated with Self-Harm.","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-254.jpg,UNIVERSAL_HUMAN,"This meme features a photograph of a phone charger labeled ""मैं"" (Hindi for ""Me"") hilariously failing to plug into an outlet, instead resting blindly against the solid plastic faceplate below the Hinglish text ""Public में awkward न होने की कोशिश"" (""Trying not to be awkward in public""). The core joke relies on a relatable visual metaphor where the physical inability of the plug to connect perfectly mirrors the creator's perceived social ineptitude, translating localized internet humor into a universal expression of feeling distinctly out of place. Emotionally, this self-deprecating juxtaposition uses a mundane, comical failure to convey underlying social anxiety and self-consciousness, though the humor focuses on relatable embarrassment rather than clearly depicting the severe clinical symptoms outlined in the reference glossary.","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/CULTURAL_REFERENCE_DEPENDENT/test/TE-232.jpg,CULTURAL_REFERENCE_DEPENDENT,"This six-panel Hindi-translated Mr. Lovenstein comic features a simple white figure initially quoting the famous Bollywood song lyric ""दोस्त दोस्त न रहा..."" (""A friend remained a friend no more"") into a black void, only for a voice to coldly reply, ""मैं तुम्हारा दोस्त नहीं हूँ।"" (""I am not your friend""). The core humor shifts from a dramatic, culturally recognizable expression of betrayal to profound, absurd isolation as the increasingly despondent figure realizes they lack any companionship, eventually stating, ""मैं भी तुम्हारा दोस्त नहीं हूँ।"" (""I am also not your friend"") before the background dissolves into television static. Emotionally, the comic illustrates a devastating progression from performative melancholy to genuine, hollow self-alienation and mental blankness. Clinically, the character's explicit self-rejection aligns with the symptom of **Low Self-Esteem**, the visible shift toward emotional pain illustrates **Feeling Down**, and the final panel's visual metaphor of static strongly suggests a **Concentration Problem** indicative of dissociation or cognitive shutdown in response to intense psychological distress.","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-145.jpg,UNIVERSAL_HUMAN,"This image features a black hanging sign outside a modern storefront displaying a bait-and-switch joke written in Hindi: ""कभी मत भूलना कि तुम किसी के मुस्कुराने की वजह हो। क्योंकि तुम एक मज़ाक हो।"" (Never forget that you are the reason for someone's smile. Because you are a joke). The cultural nuance relies on subverting a cliché, superficially uplifting motivational quote into a harsh, cynical punchline that abruptly shatters the initial positive sentiment. Emotionally, the meme utilizes this abrupt shift to dark, self-deprecating humor to mask underlying psychological distress by jarringly transitioning from perceived affection to outright mockery. Within a clinical context, the harsh punchline explicitly conveys Low Self-Esteem, as reducing oneself (or the intended reader) to a mere ""joke"" directly aligns with expressions of worthlessness, self-hatred, and the feeling of lacking genuine value.","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-106.jpg,UNIVERSAL_HUMAN,"This meme features a desolate image of a person lying face-down on cracked, barren earth, accompanied by Hindi text that translates to, ""Finally, my mind has gone bad... don't bother returning it..... it wasn't working properly anyway."" The humor relies on a common internet trope of treating one's own brain as a defective, unreturnable product, using dark comedy and literal physical collapse to hyperbolize total mental exhaustion within South Asian meme culture. Emotionally, the juxtaposition of the physically defeated figure with the casually flippant text conveys a cynical acceptance of severe burnout, masking genuine psychological distress with a dismissive attitude toward one's own faculties. Clinically, the explicit textual admission that the brain ""wasn't working properly,"" paired with the visual depiction of intense mental paralysis and apathy, strongly indicates a **Concentration Problem**, while the self-deprecating devaluation of the mind also points toward **Low Self-Esteem**.","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-570.jpg,UNIVERSAL_HUMAN,"This three-panel meme features a sequential image of two orange cats resting on a couch, with the left cat labeled in Hindi as ""स्थितिज ऊर्जा"" (Potential Energy) and the right cat as ""गतिज ऊर्जा"" (Kinetic Energy). The visual progression shows the ""Potential Energy"" cat yawning widely in the first panel, resting its head in the second, and finally, the ""Kinetic Energy"" cat yawning widely in the third panel, cleverly illustrating the physics principle of potential energy converting into kinetic energy. Emotionally, the meme is lighthearted, playful, and strictly educational, utilizing the inherently humorous visual of cats ""transferring"" a yawn to anthropomorphize a scientific concept. When evaluated against the clinical reference glossary, this meme exhibits no visual or textual evidence of psychological distress, as it functions purely as an innocuous academic joke without portraying any recognizable mental health symptoms.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-91.jpg,UNIVERSAL_HUMAN,"Utilizing the popular four-panel ""blob in a box"" template, this Hinglish meme illustrates a cycle of attempted self-improvement ending in harsh defeat, as a smiling pink blob steps out of its box to complete a task, is physically punched by yellow fists representing failure due to its own ""worthlessness"" (""नालायकी""), and retreats back inside significantly diminished. The core cultural irony and emotional weight stem from the jarring juxtaposition of the character's deceptively cute, persistent smile in the final panel with the severe psychological distress of resigning oneself to absolute failure. Clinically, the explicit Hindi text demonstrates **Low Self-Esteem** through the opening admission ""Self esteem कम है"" and later self-characterizations as utterly useless (""बेकार""), while the final panel's darkly comedic declaration, ""मैं इतना बेकार हूँ कि मुझे मर ही जाना चाहिए"" (I am so useless that I should just die), provides a direct textual reference indicative of **Self-Harm**. Furthermore, the visual depiction of the crying, battered blob in the third panel serves as explicit evidence of **Feeling Down**.","[0,0,1,0,1,0,0]",
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-617.jpg,UNIVERSAL_HUMAN,"Styled to resemble an edgy album cover complete with a translated Hindi ""Parental Advisory"" sticker, this meme features a stylized image of a highly distressed man restrained in a straitjacket next to a cartoon fairy and the Hindi text ""लगता है मैं पागल हो रहा हूँ"" (I think I am going crazy). The core irony lies in packaging a terrifying mental breakdown as a trendy, consumable pop-art aesthetic, using the absurd juxtaposition of the whimsical yellow fairy against the grim reality of physical restraint to convey a profound state of panicked helplessness and psychological distress. Clinically, the explicit text confessing a loss of sanity paired with the institutional imagery serves as a stark expression of intense emotional pain, aligning with the symptom of Feeling Down, while the presence of the seemingly hallucinated fairy visually suggests a severe state of dissociation, which can be indicative of a Concentration Problem.","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-443.jpg,UNIVERSAL_HUMAN,"Featuring the widely recognized ""Aunty Acid"" cartoon character looking visibly exasperated while sitting upright under a floral blanket, this Hindi meme states, ""मेरा बिस्तर एक जादुई जगह है जहाँ मुझे अचानक वो सारे काम याद आ जाते हैं जो मुझे करने थे..."" (My bed is a magical place where I suddenly remember all the things I was supposed to do...). The core humor relies on the relatable irony of seeking physical rest, only for the brain to be suddenly flooded with anxiety-inducing reminders of unfinished responsibilities, conveying an underlying emotional state of restless frustration and mental hyperactivity rather than relaxation. Clinically, this depiction of an overactive mind generating intrusive, task-oriented thoughts exactly at bedtime directly aligns with a **Sleeping Disorder**, specifically illustrating the classic presentation of sleep-onset insomnia where mental hyperarousal prevents the onset of sleep.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/POP_CULTURE_DEPENDENT/test/TE-34.jpg,POP_CULTURE_DEPENDENT,"This meme utilizes a stern-faced image of classic Bollywood actor Amrish Puri—a cultural archetype for strict South Asian parents—juxtaposed with the transcribed Hindi/English text: ""मेरे parents: तुम successful क्यों नहीं हो? Also my parents: वही parents: तुमसे कुछ नहीं होगा"" (""My parents: Why aren't you successful? Also my parents: You won't be able to do anything""). The core irony highlights a contradictory and toxic cultural parenting dynamic where immense pressure to achieve is paired with harsh, demotivating language that actively undermines the child's confidence. Emotionally, the meme conveys a deep sense of frustration, inadequacy, and the psychological exhaustion of navigating a no-win situation with unsupportive authority figures. Clinically, by highlighting this constant parental belittlement, the meme directly aligns with the symptom of Low Self-Esteem, illustrating an environment that fosters internalized feelings of worthlessness and the ingrained belief that the individual is inherently incapable of success.","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/REFERENCE_DEPENDENT/test/TE-32.jpg,REFERENCE_DEPENDENT,"This meme utilizes the popular ""Epic Handshake"" visual template to depict two muscular arms representing ""इंजीनियरिंग स्टूडेंट्स"" (Engineering students) and ""मेडिकल स्टूडेंट्स"" (Medical students) bonding over their shared burden of ""बहुत ज्यादा स्ट्रेस"" (Too much stress). Culturally, the image satirizes the intense academic pressure inherent to these highly competitive fields in South Asia by humorously juxtaposing an image of hyper-masculine strength with a confession of profound psychological vulnerability. The underlying emotional state of severe distress and fatalistic resignation is further cemented by the bottom caption ""जिंदगी झंड है 😢 🤘"" (Life is miserable/ruined), which provides direct evidence of the clinical symptom of Feeling Down through its explicit expression of hopelessness and emotional pain.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
